Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.8.135-20.42.73.24-1165-443-6,192.168.8.135,1165,20.42.73.24,443,6,03/05/2023 09:02:33 PM,306407,4,2,4632.0,1463.0,1400.0,432.0,1158.0,484.0,953.0,510.0,731.5,313.2483040656405,19891.84320201562,19.58179806597108,61281.4,136991.92508976578,306340.0,0.0,0.0,0.0,0.0,0.0,0.0,306407.0,306407.0,0.0,306407.0,306407.0,0,1,0,0,80,40,13.05453204398072,6.52726602199036,432.0,1400.0,1006.8571428571429,417.69463669504967,174468.80952380953,0,0,0,1,1,0,0,0,0.0,1174.6666666666667,1158.0,731.5,0,0,0,0,0,0,4,4632,2,1463,-1,2050,4,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-20.42.73.24-1165-443-6,192.168.8.135,1165,20.42.73.24,443,6,03/05/2023 09:02:34 PM,867,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2306.8050749711647,867.0,0.0,867.0,867.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,1153.4025374855823,1153.4025374855823,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,252,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-23.7.209.250-1039-80-6,192.168.8.135,1039,23.7.209.250,80,6,03/05/2023 09:02:44 PM,123794,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,16.15587185162447,123794.0,0.0,123794.0,123794.0,0,0,0,0,0,123794.0,123794.0,0.0,123794.0,123794.0,0,0,0,0,0,40,0.0,16.15587185162447,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,501,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-3.224.194.10-1148-443-6,3.224.194.10,443,192.168.8.135,1148,6,03/05/2023 09:02:44 PM,0,2,1,31.0,46.0,31.0,0.0,15.5,21.920310216782973,46.0,46.0,46.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,40,20,0.0,0.0,0.0,46.0,30.75,21.68524844220144,470.25,0,0,0,1,1,0,0,0,0.0,41.0,15.5,46.0,0,0,0,0,0,0,2,31,1,46,-1,124,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-3.224.194.10-1148-443-6,192.168.8.135,1148,3.224.194.10,443,6,03/05/2023 09:02:44 PM,10348,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.2740626207963,10348.0,0.0,10348.0,10348.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,96.63703131039814,96.63703131039814,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,1,0,-1,253,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-44.215.88.199-1149-443-6,44.215.88.199,443,192.168.8.135,1149,6,03/05/2023 09:02:45 PM,393,1,3,31.0,46.0,31.0,31.0,31.0,0.0,46.0,0.0,15.333333333333332,26.558112382722786,195928.75318066156,10178.117048346056,131.0,114.79111463872106,214.0,0.0,0,0,0,0,0,393.0,196.5,24.748737341529164,214.0,179.0,0,1,0,0,20,60,2544.529262086514,7633.587786259542,0.0,46.0,24.6,23.276597689524987,541.8,0,0,0,1,1,0,0,0,3.0,30.75,31.0,15.333333333333334,0,0,0,0,0,0,1,31,3,46,-1,253,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-104.208.16.0-1052-443-6,192.168.8.135,1052,104.208.16.0,443,6,03/05/2023 09:02:58 PM,259498,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,7.707188494709015,259498.0,0.0,259498.0,259498.0,0,0,0,0,0,259498.0,259498.0,0.0,259498.0,259498.0,0,0,0,0,0,40,0.0,7.707188494709015,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,16384,0,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-52.168.117.169-1150-443-6,192.168.8.135,1150,52.168.117.169,443,6,03/05/2023 09:02:38 PM,22798831,3,3,757.0,1369.0,757.0,0.0,252.33333333333331,437.05415377654674,896.0,0.0,456.33333333333337,448.23245457388884,93.25039516280462,0.26317138804178164,4559766.2,1.0019646218541361E7,2.2481927E7,60.0,2.2798771E7,1.13993855E7,1.5673080494862664E7,2.2481927E7,316844.0,316840.0,158420.0,208282.54503918468,305698.0,11142.0,0,1,0,0,60,60,0.13158569402089082,0.13158569402089082,0.0,896.0,431.71428571428567,427.74007461140627,182961.5714285714,0,0,0,1,1,0,0,0,1.0,503.6666666666667,252.33333333333334,456.3333333333333,0,0,0,0,0,0,3,757,3,1369,-1,2050,1,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-52.168.117.169-1151-443-6,192.168.8.135,1151,52.168.117.169,443,6,03/05/2023 09:02:38 PM,22783212,6,5,2310.0,1842.0,898.0,0.0,385.0,427.5338583083216,896.0,0.0,368.4,378.0480128237682,182.23944894161545,0.48281164218636075,2278321.2,6315563.220908626,2.0227723E7,61.0,2.2783151E7,4556630.2,8769901.306796543,2.0227723E7,77.0,2505887.0,626471.75,609542.060861745,1540047.0,295429.0,0,1,0,0,120,100,0.26335180482892406,0.2194598373574367,0.0,898.0,420.66666666666663,396.9017128924612,157530.9696969697,0,0,0,1,1,0,0,0,0.0,458.90909090909093,385.0,368.4,0,0,0,0,0,0,6,2310,5,1842,-1,2050,3,0,0,0,0,0,0,0,0,0,No Label
192.168.8.135-52.109.124.112-1169-443-6,192.168.8.135,1169,52.109.124.112,443,6,03/05/2023 09:02:53 PM,7561720,1,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.7071067811865476,0.13224504477817217,0.39673513433451646,3780860.0,5220454.814201728,7472279.0,89441.0,0,0,0,0,0,89441.0,89441.0,0.0,89441.0,89441.0,0,0,0,0,20,52,0.13224504477817217,0.26449008955634434,0.0,1.0,0.5,0.5773502691896257,0.3333333333333333,0,0,0,0,1,0,0,0,2.0,0.6666666666666666,0.0,0.5,0,0,0,0,0,0,1,0,2,1,-1,2048,0,0,0,0,0,0,0,0,0,0,No Label
